decoding_code_detailled,chapter_lexicon,ihra_section,decoding_short
S1,2,2,a12
S2,3,27,a12
S2a,3,2,a12
S2b,3,27,a12
S2c,32,X,a5
S2d,31,7,a5
S3,6,2,a12
S4,7,2,a12
S4a,7,2,X
S4b,7,2,X
S5,7,2,a12
S6,11,2,a2
S6a,11,2,X
S7,12,2,a2
S7a,12,2,X
S7a1,12,2,X
S7b,12,2,X
S7b1,12,2,X
S7c,12,2,X
S10,5,2,a12
S11,11,2,a2
S12,14,2,a2
S13,20,X,a3
S14,20,X,a3
S15,8,2,a12
S16,26,27,a4
S16a,26,27,a4
S16b,23,27,a3
S17,29,7,a5
S18,10,X,a4
S18a,36,9,a5
S19,29,2,a12
S20,4,29,a12
S21,9,6,a12
S22,22,X,a3
S23,13,29,a12
D1,13,2,a2
D2a,21,4,a3
D2b,28,10,a5
D2c,27,1,a4
D2d,18,4,a3
D2e,18,4,a3
D2f,28,10,a5
D3,29,7,a5
D4,30,7,a5
D4a,30,7,X
D4b,30,7,X
D5,5,2,a12
D6,15,4,a2
D7,27,0,X
D8,19,X,a3
D9,19,X,a3
D10,34,7,a5
D10a,34,7,X
D11,17,X,a3
D12,33,8,a5
D13,25,11,a4
D14,35,7,a5
D14b,35,7,a5
D15,24,10,a3
D16,X,10,a3
D17,16,4,a3
L13b1,39,X,a6
L13b2,39,X,X
L13c1,40,0,a6
L13c2,40,0,X
L13d1,41,0,a6
L13d2,41,0,X
